GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Osgiliath integration tests security,net.osgiliath.security,MAuthority,4,7,0,0,1,2,1,2,1,2
Osgiliath integration tests security,net.osgiliath.security,MUser,112,91,28,4,2,12,19,13,3,13
Osgiliath integration tests security,net.osgiliath.security,LoginPasswordSecurityService,16,70,0,0,6,22,3,7,3,7
Osgiliath integration tests security,net.osgiliath.security,AUTHORITY,12,34,0,0,1,5,3,2,3,2
Osgiliath integration tests security,net.osgiliath.security,RepositoryUserDetailsService,6,27,2,2,2,6,2,4,0,4
